backend,case,or_time_ms,min_ms,max_ms,replicates,source_operation,source_files
EWAH,A1311_B32768,10.2111,10.2101,10.2215,3,OR_op,raw/density_r1_A1311_B32768_ewah.csv;raw/density_r2_A1311_B32768_ewah.csv;raw/density_r3_A1311_B32768_ewah.csv
Bitset-AVX512,A1311_B32768,1.7164,1.55882,1.78022,3,OR_op,raw/density_r1_A1311_B32768_bitset_avx512.csv;raw/density_r2_A1311_B32768_bitset_avx512.csv;raw/density_r3_A1311_B32768_bitset_avx512.csv
Concise,A1311_B32768,44.5458,44.5418,44.5492,3,OR_op,raw/density_r1_A1311_B32768_concise.csv;raw/density_r2_A1311_B32768_concise.csv;raw/density_r3_A1311_B32768_concise.csv
DDC,A3277_B3277,1.47723,1.43803,1.4821,3,OR_op,raw/density_r1_A3277_B3277_ddc.csv;raw/density_r2_A3277_B3277_ddc.csv;raw/density_r3_A3277_B3277_ddc.csv
CRoaring,A3277_B3277,7.38896,7.3729,7.43716,3,OR_op_conv,raw/density_r1_A3277_B3277_croaring.csv;raw/density_r2_A3277_B3277_croaring.csv;raw/density_r3_A3277_B3277_croaring.csv
WAH,A3277_B3277,15.2617,15.2181,15.2832,3,OR_op,raw/density_r1_A3277_B3277_wah.csv;raw/density_r2_A3277_B3277_wah.csv;raw/density_r3_A3277_B3277_wah.csv
EWAH,A3277_B3277,7.72773,7.72278,7.76467,3,OR_op,raw/density_r1_A3277_B3277_ewah.csv;raw/density_r2_A3277_B3277_ewah.csv;raw/density_r3_A3277_B3277_ewah.csv
Bitset-AVX512,A3277_B3277,1.73006,1.72992,1.76406,3,OR_op,raw/density_r1_A3277_B3277_bitset_avx512.csv;raw/density_r2_A3277_B3277_bitset_avx512.csv;raw/density_r3_A3277_B3277_bitset_avx512.csv
Concise,A3277_B3277,36.7876,36.7142,36.8634,3,OR_op,raw/density_r1_A3277_B3277_concise.csv;raw/density_r2_A3277_B3277_concise.csv;raw/density_r3_A3277_B3277_concise.csv
DDC,A3277_B6554,1.47782,1.46747,1.48232,3,OR_op,raw/density_r1_A3277_B6554_ddc.csv;raw/density_r2_A3277_B6554_ddc.csv;raw/density_r3_A3277_B6554_ddc.csv
CRoaring,A3277_B6554,5.52375,5.51037,5.58641,3,OR_op_conv,raw/density_r1_A3277_B6554_croaring.csv;raw/density_r2_A3277_B6554_croaring.csv;raw/density_r3_A3277_B6554_croaring.csv
WAH,A3277_B6554,14.6324,14.569,14.9002,3,OR_op,raw/density_r1_A3277_B6554_wah.csv;raw/density_r2_A3277_B6554_wah.csv;raw/density_r3_A3277_B6554_wah.csv
EWAH,A3277_B6554,6.33256,6.25615,6.35798,3,OR_op,raw/density_r1_A3277_B6554_ewah.csv;raw/density_r2_A3277_B6554_ewah.csv;raw/density_r3_A3277_B6554_ewah.csv
Bitset-AVX512,A3277_B6554,1.74791,1.49058,1.75175,3,OR_op,raw/density_r1_A3277_B6554_bitset_avx512.csv;raw/density_r2_A3277_B6554_bitset_avx512.csv;raw/density_r3_A3277_B6554_bitset_avx512.csv
Concise,A3277_B6554,31.2485,31.164,31.3274,3,OR_op,raw/density_r1_A3277_B6554_concise.csv;raw/density_r2_A3277_B6554_concise.csv;raw/density_r3_A3277_B6554_concise.csv
DDC,A3277_B13107,1.49216,1.4678,1.49721,3,OR_op,raw/density_r1_A3277_B13107_ddc.csv;raw/density_r2_A3277_B13107_ddc.csv;raw/density_r3_A3277_B13107_ddc.csv
CRoaring,A3277_B13107,5.53127,5.5111,5.58594,3,OR_op_conv,raw/density_r1_A3277_B13107_croaring.csv;raw/density_r2_A3277_B13107_croaring.csv;raw/density_r3_A3277_B13107_croaring.csv
WAH,A3277_B13107,15.1942,15.1211,15.3787,3,OR_op,raw/density_r1_A3277_B13107_wah.csv;raw/density_r2_A3277_B13107_wah.csv;raw/density_r3_A3277_B13107_wah.csv
