group,case,operation,native_cr_ms,same_run_delivered_cr_ms,historical_delivered_cr_ms,native_over_same_run_delivered,native_speedup_from_removing_delivery,delivery_overhead_ms,delivery_share_pct,same_run_delivered_over_historical,replicates,native_source_operation,delivered_source_operation
density,A3277_B3277,OR,6.10209,7.57009,7.36025,0.8060789237644466,1.2405733117669522,1.4680000000000009,19.392107623555347,1.0285099011582488,1,OR_op,OR_op_conv
density,A3277_B6554,OR,4.21118,5.64012,5.52479,0.7466472344560044,1.3393205704814328,1.4289399999999999,25.33527655439955,1.0208750015837704,1,OR_op,OR_op_conv
density,A3277_B13107,OR,4.2004,5.62814,5.53753,0.746321164718717,1.339905723264451,1.42774,25.3678835281283,1.016362891036256,1,OR_op,OR_op_conv
density,A3277_B19661,OR,4.18571,5.63846,5.52314,0.7423498614870018,1.3470737342051886,1.45275,25.765013851299823,1.020879427282307,1,OR_op,OR_op_conv
density,A3277_B26214,OR,4.19147,5.62721,5.61156,0.7448575759568241,1.3425385365993314,1.43574,25.514242404317596,1.0027888858000271,1,OR_op,OR_op_conv
density,A3277_B32768,OR,4.18161,5.61244,5.51818,0.7450609716985839,1.342172034216486,1.4308300000000003,25.493902830141618,1.0170817189725598,1,OR_op,OR_op_conv
density,A6554_B6554,OR,1.49229,2.90343,2.82869,0.5139748504355193,1.9456204893150797,1.4111400000000003,48.60251495644807,1.026422124729115,1,OR_op,OR_op_conv
density,A6554_B13107,OR,1.49554,2.9108,2.79085,0.5137900233612753,1.9463203926340986,1.41526,48.62099766387248,1.0429797373560028,1,OR_op,OR_op_conv
density,A6554_B19661,OR,1.49279,2.90563,2.90275,0.5137577737014004,1.9464425672733605,1.4128399999999999,48.62422262985996,1.0009921626044267,1,OR_op,OR_op_conv
density,A6554_B26214,OR,1.49683,2.91295,2.90918,0.513853653512762,1.946079381092041,1.4161199999999998,48.6146346487238,1.0012958978131294,1,OR_op,OR_op_conv
density,A6554_B32768,OR,1.48783,2.90436,2.91053,0.5122746491481772,1.9520778583574736,1.41653,48.772535085182284,0.9978801111824994,1,OR_op,OR_op_conv
density,A13107_B13107,OR,1.49533,2.91142,2.78841,0.5136084797109314,1.9470083526713167,1.41609,48.63915202890686,1.0441147463966922,1,OR_op,OR_op_conv
density,A13107_B19661,OR,1.4875,2.9007,2.83954,0.512807253421588,1.9500504201680673,1.4132,48.719274657841204,1.0215386999302705,1,OR_op,OR_op_conv
density,A13107_B26214,OR,1.51797,2.92788,2.9262,0.5184536251485716,1.9288128223877943,1.40991,48.15463748514283,1.0005741234365388,1,OR_op,OR_op_conv
density,A13107_B32768,OR,1.52225,2.93182,2.82765,0.5192167322686931,1.9259779931023155,1.40957,48.07832677313068,1.0368397786147507,1,OR_op,OR_op_conv
density,A19661_B19661,OR,1.51919,2.93081,2.83918,0.5183515819858674,1.929192530229925,1.41162,48.16484180141326,1.0322734028839313,1,OR_op,OR_op_conv
density,A19661_B26214,OR,1.52185,2.92941,2.82884,0.5195073410686794,1.9249006143838092,1.40756,48.049265893132066,1.0355516748914748,1,OR_op,OR_op_conv
density,A19661_B32768,OR,1.51939,2.93313,2.83028,0.5180097711318626,1.9304655157661954,1.4137399999999998,48.19902288681374,1.036339160789745,1,OR_op,OR_op_conv
density,A26214_B26214,OR,1.52079,2.93323,2.82873,0.5184694006266131,1.9287541343643764,1.41244,48.1530599373387,1.0369423734326004,1,OR_op,OR_op_conv
density,A26214_B32768,OR,1.51892,2.93156,2.86819,0.5181268676063256,1.9300292312959209,1.4126400000000001,48.187313239367434,1.0220940732657182,1,OR_op,OR_op_conv
density,A32768_B32768,OR,1.52171,2.93062,2.82751,0.5192450744211122,1.9258728667091627,1.4089099999999999,48.07549255788877,1.036466714529745,1,OR_op,OR_op_conv
